Value
4.095758915
3.940940142
3.841184616
3.817134857
3.783204794
3.77659893
3.770736933
3.768857956
3.793220758
3.781028748
3.781028748
3.781028748
3.781028748
3.781028748
3.781028748
4.28845644
4.553373337
4.708520889
4.818105221
4.790354729
4.829194546
4.851890564
4.812318802
4.957024574
4.976161003
5.115622997
5.245188236
5.271552563
5.1224823
5.183451653
5.142460346
5.083641529
5.130260944
5.144545555
5.16772604
5.218940735
5.330814362
5.15941143
5.265075207
5.375862122
5.371304512
5.37340641
5.457175732
5.399445057
5.39244318
5.398564816
5.360211849
5.414897919
5.391055107
5.375667572
5.217739105
5.344473362
5.174305439
5.119157314
5.257609367
5.266876698
5.382564545
5.322378159
5.318557739
5.3567276
