Wall time,Step,Value
1535910551.5738678,70,10.030506134033203
1535910551.574445,73,9.97305965423584
1535910551.5749462,76,9.89919662475586
1535910551.5755289,79,9.8543701171875
1535910551.5796747,82,9.783966064453125
1535910551.580265,85,9.721381187438965
1535910551.5808508,88,9.666102409362793
1535910551.5847342,91,9.589820861816406
1535910551.5853138,94,9.526174545288086
1535910551.5858526,97,9.458479881286621
1535910551.5863776,100,9.400471687316895
1535910551.59001,103,9.32082462310791
1535910551.5905495,106,9.258001327514648
1535910551.5910792,109,9.169469833374023
1535910551.5946994,112,9.109393119812012
1535910551.5952182,115,9.052419662475586
1535910551.5957222,118,8.961727142333984
1535910551.599083,121,8.902571678161621
1535910551.599621,124,8.814173698425293
1535910551.600138,127,8.726454734802246
1535910551.6006463,130,8.646551132202148
1535910551.604039,133,8.566854476928711
1535910551.6045322,136,8.489914894104004
1535910551.605044,139,8.39770793914795
1535910551.6081843,142,8.311529159545898
1535910551.6086714,145,8.23590087890625
1535910551.609132,148,8.128564834594727
1535910551.6122472,151,8.051807403564453
1535910551.6127706,154,7.947892665863037
1535910551.6132333,157,7.851351737976074
1535910551.6136997,160,7.771925449371338
1535910551.6167493,163,7.664343357086182
1535910551.6171894,166,7.540997505187988
1535910551.617643,169,7.460149765014648
1535910551.6206133,172,7.372784614562988
1535910551.6210625,175,7.246026992797852
1535910551.6214938,178,7.150397300720215
1535910551.6244652,181,7.060790538787842
1535910551.6249495,184,6.954763412475586
1535910551.625375,187,6.883762359619141
1535910551.62582,190,6.791365146636963
1535910551.6286273,193,6.70457649230957
1535910551.6290429,196,6.607505798339844
1535910551.6295035,199,6.526123523712158
1535910551.6323175,202,6.4640421867370605
1535910551.6327527,205,6.360268592834473
1535910551.6331663,208,6.282926082611084
1535910551.6358962,211,6.20547342300415
1535910551.6363099,214,6.143502235412598
1535910551.6367118,217,6.076706409454346
1535910551.637102,220,5.990312099456787
1535910551.638314,223,5.948035717010498
1535910551.6396236,226,5.909340858459473
1535910551.6409154,229,5.826413154602051
1535910551.6422122,232,5.779510498046875
1535910551.6435087,235,5.737436294555664
1535910551.6448429,238,5.678234100341797
1535910551.6460998,241,5.626904487609863
1535910551.6473298,244,5.578421115875244
1535910551.6485722,247,5.550787448883057
1535910551.6498103,250,5.533034324645996
