Wall time,Step,Value
1537493160.4669056,50,10.566620826721191
1537493179.8580296,53,10.502923011779785
1537493199.5520835,56,10.444414138793945
1537493218.932064,59,10.38325023651123
1537493238.3680344,62,10.31801700592041
1537493257.7621896,65,10.249580383300781
1537493277.1576786,68,10.203351974487305
1537493296.585322,71,10.121962547302246
1537493316.1782224,74,10.05412769317627
1537493335.58567,77,9.996208190917969
1537493355.646961,80,9.908360481262207
1537493375.8817294,83,9.853161811828613
1537493395.525057,86,9.77613639831543
1537493416.0300705,89,9.69260311126709
1537493436.6155682,92,9.606792449951172
1537493457.0304446,95,9.53404712677002
1537493477.7739882,98,9.440173149108887
1537493498.1298034,101,9.37807846069336
1537493518.2901611,104,9.271464347839355
1537493537.7503498,107,9.185413360595703
1537493557.3423123,110,9.091509819030762
1537493576.849063,113,9.00725269317627
1537493596.298052,116,8.896112442016602
1537493615.7975612,119,8.784738540649414
1537493635.7287776,122,8.689638137817383
1537493656.1311128,125,8.583232879638672
1537493676.29592,128,8.476289749145508
1537493696.6523502,131,8.35772705078125
1537493716.725983,134,8.249255180358887
1537493736.8673308,137,8.149742126464844
1537493756.5067143,140,8.033526420593262
1537493776.2092185,143,7.93695068359375
1537493796.0084016,146,7.846053123474121
1537493815.5067441,149,7.733143329620361
1537493835.6551259,152,7.616161823272705
1537493856.0380986,155,7.512427806854248
1537493876.5312412,158,7.422996997833252
1537493897.5166204,161,7.311812877655029
1537493918.0461566,164,7.210362911224365
1537493938.5121717,167,7.135079383850098
1537493959.5124807,170,7.050931453704834
1537493979.9688315,173,6.947265625
1537494000.4226744,176,6.852070331573486
1537494020.8588932,179,6.80328369140625
1537494040.6244564,182,6.736027717590332
1537494060.0086505,185,6.641856670379639
1537494079.447858,188,6.573506832122803
1537494098.8570356,191,6.511220455169678
1537494118.2004151,194,6.442138671875
1537494137.5331368,197,6.377286911010742
1537494156.83097,200,6.304582595825195
1537494176.170837,203,6.266994953155518
1537494195.6276307,206,6.215514659881592
1537494214.9752154,209,6.152721881866455
1537494234.34499,212,6.117946624755859
1537494253.7137506,215,6.062862873077393
1537494273.089501,218,6.035015106201172
1537494292.445551,221,5.989848613739014
1537494311.8370817,224,5.94327449798584
1537494331.2233295,227,5.90393590927124
1537494350.6374972,230,5.843356609344482
1537494369.9947722,233,5.835781574249268
1537494389.3229167,236,5.820826530456543
1537494408.619114,239,5.764648914337158
1537494427.9852219,242,5.741329193115234
1537494447.2696323,245,5.685428142547607
1537494466.5982878,248,5.684396743774414
