Wall time,Step,Value
1535910931.5186248,70,9.954437255859375
1535910931.5190113,73,9.886441230773926
1535910931.5193129,76,9.80322265625
1535910931.5196168,79,9.75621223449707
1535910931.521711,82,9.678911209106445
1535910931.522015,85,9.598837852478027
1535910931.5223095,88,9.52161979675293
1535910931.52427,91,9.440023422241211
1535910931.5245914,94,9.381997108459473
1535910931.5248847,97,9.284326553344727
1535910931.5251765,100,9.204346656799316
1535910931.527142,103,9.126707077026367
1535910931.5274372,106,9.027368545532227
1535910931.527736,109,8.941812515258789
1535910931.5296984,112,8.830169677734375
1535910931.5299964,115,8.72563648223877
1535910931.530328,118,8.647050857543945
1535910931.5322678,121,8.550464630126953
1535910931.5325856,124,8.434646606445312
1535910931.5328808,127,8.335213661193848
1535910931.5331717,130,8.23214340209961
1535910931.5351734,133,8.113880157470703
1535910931.5354695,136,8.013663291931152
1535910931.5357695,139,7.917407512664795
1535910931.5377333,142,7.8110809326171875
1535910931.5380342,145,7.692870140075684
1535910931.5383248,148,7.58613395690918
1535910931.5402765,151,7.4632368087768555
1535910931.540591,154,7.368060111999512
1535910931.5408847,157,7.284486770629883
1535910931.5411744,160,7.153536796569824
1535910931.543157,163,7.062891483306885
1535910931.5434535,166,6.962414264678955
1535910931.543753,169,6.854129314422607
1535910931.5457227,172,6.790926933288574
1535910931.5460205,175,6.683951377868652
1535910931.5463123,178,6.608902931213379
1535910931.5482857,181,6.518569469451904
1535910931.5486076,184,6.444202899932861
1535910931.5489013,187,6.365071773529053
1535910931.549192,190,6.287365913391113
1535910931.5511804,193,6.21535587310791
1535910931.551476,196,6.148746490478516
1535910931.551774,199,6.082300662994385
1535910931.5537395,202,6.031286239624023
1535910931.5540395,205,5.967310428619385
1535910931.5543296,208,5.917831897735596
1535910931.5562854,211,5.861506938934326
1535910931.5566013,214,5.816824913024902
1535910931.5568953,217,5.762792587280273
1535910931.5571847,220,5.725366592407227
1535910931.559153,223,5.686557769775391
1535910931.5594473,226,5.650700092315674
1535910931.5597458,229,5.623000621795654
1535910931.5617447,232,5.5777716636657715
1535910931.5620453,235,5.535158157348633
1535910931.5623364,238,5.51334285736084
1535910931.562789,241,5.472604274749756
1535910931.5637634,244,5.449724197387695
1535910931.564734,247,5.415935516357422
1535910931.5657282,250,5.4020915031433105
