Wall time,Step,Value
1535911031.5740511,70,10.7749662399292
1535911031.5747154,73,10.742950439453125
1535911031.575226,76,10.71839427947998
1535911031.5757418,79,10.69273853302002
1535911031.5792973,82,10.653746604919434
1535911031.5798194,85,10.633844375610352
1535911031.5803092,88,10.605081558227539
1535911031.5834982,91,10.576590538024902
1535911031.5840209,94,10.53907299041748
1535911031.5844858,97,10.511627197265625
1535911031.5849578,100,10.470930099487305
1535911031.5881116,103,10.45247745513916
1535911031.5885863,106,10.419410705566406
1535911031.5890539,109,10.391590118408203
1535911031.5921226,112,10.362052917480469
1535911031.5926278,115,10.336418151855469
1535911031.5930667,118,10.30639934539795
1535911031.5959926,121,10.273965835571289
1535911031.5964506,124,10.24907398223877
1535911031.5968997,127,10.22787857055664
1535911031.5973384,130,10.198122024536133
1535911031.600331,133,10.160197257995605
1535911031.6007867,136,10.13833236694336
1535911031.6012115,139,10.115878105163574
1535911031.6040027,142,10.07702350616455
1535911031.6044207,145,10.060922622680664
1535911031.604843,148,10.018659591674805
1535911031.6076388,151,10.003073692321777
1535911031.6080794,154,9.980709075927734
1535911031.6084936,157,9.958599090576172
1535911031.608923,160,9.931941986083984
1535911031.6116881,163,9.908902168273926
1535911031.6120842,166,9.876984596252441
1535911031.6124735,169,9.853677749633789
1535911031.61512,172,9.842639923095703
1535911031.6155212,175,9.807328224182129
1535911031.6159196,178,9.778849601745605
1535911031.6185782,181,9.77885627746582
1535911031.6189957,184,9.74947738647461
1535911031.6193871,187,9.724247932434082
1535911031.6197846,190,9.70610237121582
1535911031.6223605,193,9.671184539794922
1535911031.622797,196,9.663488388061523
1535911031.6231754,199,9.637288093566895
1535911031.6256938,202,9.615697860717773
1535911031.6260746,205,9.597495079040527
1535911031.6264496,208,9.57237720489502
1535911031.6289542,211,9.56032943725586
1535911031.6293454,214,9.538765907287598
1535911031.6297286,217,9.52730941772461
1535911031.6300993,220,9.495954513549805
1535911031.6312635,223,9.480246543884277
1535911031.6324499,226,9.473429679870605
1535911031.6336308,229,9.46621322631836
1535911031.6348112,232,9.447490692138672
1535911031.6359918,235,9.434856414794922
1535911031.637216,238,9.409148216247559
1535911031.6384006,241,9.385068893432617
