Wall time,Step,Value
1543991290.05363,70,8.363790512084961
1543991290.0538127,73,8.274855613708496
1543991290.053968,76,8.187057495117188
1543991290.0541203,79,8.12099552154541
1543991290.0546255,82,8.084083557128906
1543991290.055212,85,8.034394264221191
1543991290.0557745,88,8.011473655700684
1543991290.0563288,91,8.000619888305664
1543991290.056877,94,7.970332145690918
1543991290.0574172,97,7.950591564178467
1543991290.0579586,100,7.925289630889893
1543991290.0585098,103,7.911620616912842
1543991290.0590768,106,7.8951592445373535
1543991290.0596323,109,7.867789268493652
1543991290.0601747,112,7.883937835693359
1543991290.0607145,115,7.848660469055176
1543991290.0612543,118,7.868780136108398
1543991290.0617943,121,7.840207099914551
1543991290.0623415,124,7.853475093841553
1543991290.0628808,127,7.814570426940918
1543991290.0634563,130,7.814571857452393
1543991290.0640123,133,7.809835910797119
1543991290.0645688,136,7.764561653137207
1543991290.065119,139,7.750173568725586
1543991290.0656676,142,7.777499198913574
1543991290.0662224,145,7.744422912597656
1543991290.0667768,148,7.7238264083862305
1543991290.0673451,151,7.721157550811768
1543991290.067903,154,7.730559349060059
1543991290.0684497,157,7.6972246170043945
1543991290.069005,160,7.6932692527771
1543991290.0696478,163,7.671049118041992
1543991290.070188,166,7.652698516845703
1543991290.0707226,169,7.636143207550049
1543991290.0712774,172,7.637201309204102
1543991290.0717719,175,7.591610908508301
1543991290.0722811,178,7.600613594055176
1543991290.0727775,181,7.611260890960693
1543991290.0732837,184,7.564506530761719
1543991290.0737824,187,7.606350898742676
1543991290.074291,190,7.530616760253906
1543991290.0747914,193,7.52703857421875
1543991290.0753098,196,7.528668403625488
1543991290.075811,199,7.513442516326904
1543991290.0763123,202,7.4909443855285645
1543991290.07681,205,7.530754566192627
1543991290.0773118,208,7.474798202514648
1543991290.0778053,211,7.496493816375732
1543991290.0783026,214,7.437936782836914
1543991290.0787957,217,7.45669412612915
1543991290.0793047,220,7.450857162475586
1543991290.0798047,223,7.4314446449279785
1543991290.0803053,226,7.416773796081543
1543991290.0808012,229,7.3889665603637695
1543991290.0813026,232,7.367333889007568
1543991290.081792,235,7.362908840179443
1543991290.0823004,238,7.3759446144104
1543991290.0827997,241,7.369789123535156
