,model,i,BLEU,SBLEU,HBLEU1,HBLEU2
0,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.35_alphag1.0,1,0.367582501371,0.942964202867,0.0987492110057,0.0686324158299
18,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew0.900_med1_alpha0,1,0.0483008214799,0.0568192235193,0.0918956164225,0.200444584782
24,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew0.600_med1_alpha0,2,0.0480766563388,0.071763152496,0.0914184301309,0.199128927165
36,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew1.00_med1_alpha0,5,0.0472528098073,0.0576222015895,0.0899931722103,0.196793487445
31,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.30_alphag1.0,5,0.414504992264,0.957301611854,0.0774215406387,0.0520329982132
27,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew0.256_med1_alpha0,4,0.036944558559,0.0452380448057,0.0711364874072,0.159963597254
3,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew2.0_med1_alpha0,1,0.0295590463576,0.0375082896984,0.0573566158639,0.131625810697
52,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew10.0_med1_alpha0,4,0.027904363626,0.0321740837565,0.0542447424559,0.125094873086
33,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.25_alphag1.0,4,0.381740658574,0.970895483859,0.0540854698698,0.0357001854193
56,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew4.0_med1_alpha0,1,0.0260529279375,0.0326639892952,0.0507393114578,0.117595954198
20,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew3.0_med1_alpha0,1,0.0256528857727,0.0350761679947,0.0499771100966,0.115935646814
2,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew5.0_med1_alpha0,2,0.0253145568138,0.0294969561816,0.0493420771537,0.114614397365
32,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew8.0_med1_alpha0,2,0.0247313775126,0.0295861890526,0.0482335051815,0.112217281412
5,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew15.0_med1_alpha0,3,0.0241295881342,0.0280704482911,0.0470900950356,0.109749196404
34,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew20.0_med1_alpha0,2,0.0239400155901,0.0286947269692,0.0467283063683,0.108958011323
40,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew50.0_med1_alpha0,4,0.0208200038132,0.0220433376691,0.0407720006466,0.0959308223556
53,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew100.0_med1_alpha0,4,0.0181855310446,0.0185548296776,0.0357093906561,0.0846533709265
10,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.00_alphag1.0,4,0.0173885743974,0.0181061221554,0.0341719895249,0.0811915182514
25,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.20_alphag1.0,1,0.280768562761,0.985672598375,0.0272635647228,0.0176836562212
37,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.15_alphag1.0,3,0.441702369574,0.991716925794,0.0162612082451,0.0103055288558
12,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.10_alphag1.0,5,0.565022345314,0.996486386458,0.00698379806295,0.00438519954394
4,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.05_alphag1.0,2,0.126480691459,0.998040195327,0.00385980212903,0.0024403027846
