Wall time,Step,Value
1547210111.2177267,200,5.30820369720459
1547231781.8619564,225,4.965270042419434
1546814840.7163985,250,4.697933197021484
1546827422.8752348,275,4.473145008087158
547244271.4010873,300,4.2879862785339355
1546839295.0924835,325,4.186060428619385
1546851177.7101557,350,4.088828086853027
1547256548.536254,362,4.069962978363037
1546862965.0992768,375,4.04885196685791
1547268845.568245,387,4.038125514984131
1546874813.6492274,400,4.028230667114258
1546886674.2308671,425,4.008350849151611
1546898505.1449075,450,3.9971227645874023
1546910349.952221,475,3.999181032180786
1546922273.4779243,500,3.9945948123931885
1546934051.1373408,525,3.9948923587799072
1546945865.255722,550,3.9907922744750977
1546957728.8734152,575,3.992277145385742
1546969528.7977343,600,3.9935975074768066
