Wall time,Step,Value
1546522177.703756,0,3.9914169311523438
47757359.618176,12.5,3.99
1547757359.618176,25,3.9941506385803223
1547770332.8579655,50,3.9903595447540283
1547783924.8175645,60,3.9944751262664795
1547801725.7899368,70,3.9928202629089355
1547730727.473075,73,3.9973020553588867
1547965948.8759496,75,4.022555828094482
1547967713.606967,79,4.0063276290893555
1547975951.0197482,81,4.01697301864624
1547981059.582627,83,3.9932236671447754
1547985091.3424938,85,4.019465923309326
1547990444.8972192,87,4.022617340087891
1547996002.0106628,89,4.016949653625488
1548004215.1162186,91,3.9951272010803223
1548017570.8038185,93,4.006237030029297
1548017319.4276838,94,4.017950057983398
1548032075.0980487,95,4.009562969207764
1548032888.576465,96,4.019140243530273

