Wall time,Step,Value
1547538364.0061226,90,4.331657886505127
1547550569.779313,95,4.409420967102051
1547596442.6469345,98,4.4507646560668945
1547608856.9145448,100,4.4907426834106445
1547620997.4914923,102,4.5268659591674805
1547633121.1324275,104,4.579237461090088
1547645237.860751,106,4.620823383331299
1547657700.1395926,108,4.663868427276611
1547670450.4655437,110,4.706603527069092
1547683680.1561189,114,4.842329978942871
1547697362.486944,120,4.9551005363464355
1547710951.1734684,125,5.07796573638916
1547732588.651673,130,5.18443489074707
1547745969.7008123,135,5.2976460456848145
1547758918.646533,140,5.3966498374938965
1547771350.2851257,150,5.561811923980713
1547785179.2988422,160,5.691891670227051
1547936026.2105591,170,5.885538101196289
1547949405.1757367,180,5.9770917892456055
1547962327.0677338,190,6.061119556427002
1547974688.5635436,200,6.219918727874756
1547986652.3534381,225,6.454288005828857
1547998649.4719713,250,6.604861259460449
1548010578.5084424,275,6.874853134155273
1548022508.858619,325,7.115479946136475
1548034410.7803462,350,7.182575702667236

