Wall time,Step,Value
1547523656.896876,90,5.385765552520752
1547537558.6023252,95,5.012237071990967
1547549412.3959355,98,4.806724548339844
1547596047.73021,100,4.682276725769043
1547608345.2230506,102,4.5635528564453125
1547620490.311488,104,4.447119235992432
1547632513.739227,106,4.337778091430664
1547644800.6145513,108,4.238107681274414
1547657390.838367,110,4.13952112197876
1547670149.893132,114,3.9207699298858643
1547695769.0048814,120,3.724390983581543
1547719484.5998769,125,3.5552241802215576
1547751642.3501916,130,3.4060018062591553
1547772292.0937598,135,3.269946575164795
1547806169.8845282,140,3.1521506309509277
1547934771.8557978,150,2.956613302230835
1547947284.3556452,160,2.8003342151641846
1547959407.4032588,170,2.6756105422973633
1547971312.7139642,180,2.5782902240753174
1547983169.979584,190,2.496039390563965
1547995010.0442722,200,2.4313063621520996
1548006836.111451,225,2.321953058242798
1548018711.2751274,250,2.2586147785186768


