Wall time,Step,Value
1546510122.5297925,100,3.6275742053985596
1547154112.8340037,101,3.581500291824341
1547166242.293163,102,3.531619071960449
1547178352.568441,103,3.487133741378784
1547190512.7605383,104,3.443528652191162
1546522283.6874585,105,3.398925542831421
1547202630.8115823,106,3.3579230308532715
1547214815.0500467,107,3.317420244216919
1547227513.1771967,108,3.2760214805603027
1547239522.3593104,109,3.238893985748291
1546534436.1665273,110,3.2018485069274902
1546546562.4271445,114,3.0281312465667725
1546558768.9454832,120,2.8814353942871094
1546798466.2694237,125,2.750458240509033
1546810148.5073917,130,2.6358609199523926
1546821810.2212906,135,2.5365607738494873
1546833454.4790392,140,2.4479191303253174
1546845144.0962083,150,2.30059552192688
1546856864.2171533,160,2.186375856399536
1546868616.3578727,170,2.0922887325286865
1546880374.5395942,180,2.0173826217651367
1546892185.795033,190,1.9564895629882812
1546904040.853946,200,1.906400203704834
1547251663.9311142,225,1.8127363920211792
1547263838.2510245,250,1.7509987354278564
1547275859.5823507,275,1.7109042406082153
1546915856.067075,300,1.6820040941238403
547287841.9159415,325,1.6613433361053467
1547300264.3144295,350,1.645508885383606
1547312348.6637886,375,1.6342219114303589
1546927623.0121994,400,1.6249010562896729
