Wall time,Step,Value
1546522177.703756,100,3.9914169311523438
1547166136.212878,101,4.001049041748047
1547178245.342346,102,4.0061235427856445
1547190406.1359284,103,4.012024879455566
1547202523.093982,104,4.01869010925293
1546534330.0749037,105,4.021865367889404
1547214708.2031822,106,4.028001308441162
1547227407.144623,107,4.040711879730225
1547239416.3279066,108,4.05393123626709
1547251557.0664678,109,4.060964107513428
1546546456.1126864,110,4.070691108703613
1546558662.639162,114,4.133288860321045
1546570888.6142573,120,4.209951877593994
1546810043.459216,125,4.285213947296143
1546821705.8757758,130,4.393809795379639
1546833350.1307662,135,4.501595973968506
1546845038.41538,140,4.602197647094727
1546856759.3222988,150,4.831964015960693
1546868511.7499127,160,5.027729511260986
1546880269.6236079,170,5.246788501739502
1546892079.6421752,180,5.419095039367676
1546903935.8075235,190,5.590879917144775
1546915749.9209304,200,5.738502025604248
1547263731.1572344,225,6.079524993896484
1547275753.2374709,250,6.379871368408203
1547287733.7121434,275,6.596871376037598
1546927515.8001757,300,6.820104122161865
1547300155.701761,325,7.02894401550293
1547312240.2944613,350,7.261485576629639
1547324352.4608636,375,7.35781192779541
1546939303.4930685,400,7.477372169494629
