Wall time,Step,Value
1547537461.4488432,90,4.383422374725342
1547549315.6834762,95,4.372804641723633
1547595949.4218888,98,4.376059055328369
1547608245.1927593,100,4.390284061431885
1547620392.0825362,102,4.387789726257324
1547632416.91681,104,4.411068916320801
1547644703.0397925,106,4.42540979385376
1547657291.6132267,108,4.4439778327941895
1547670046.507245,110,4.47349739074707
1547695579.9284918,114,4.543422698974609
1547719251.6162353,120,4.631261348724365
1547751466.985101,125,4.749754905700684
1547772126.2274795,130,4.86884069442749
1547805834.6362653,135,4.988454341888428
1547934675.93748,140,5.141188621520996
1547947181.595209,150,5.413334369659424
1547959311.207916,160,5.643803596496582
1547971217.1520634,170,5.801495552062988
1547983074.7338097,180,6.048160552978516
1547994914.8034537,190,6.152088165283203
1548006741.4839292,200,6.3023176193237305
1548018615.6513352,225,6.695618629455566
1548030477.8643763,250,6.923514366149902

